Wl;L (W m-2 ste-1 nm-1);fwhm
416.88;0.33907206;
417.12;0.34354786;
417.36;0.34584488;
417.6;0.34584109;
417.84;0.34381246;
418.08;0.34090985;
418.32;0.3393679;
418.56;0.3409873;
418.8;0.34818897;
419.04;0.36070812;
419.28;0.36781074;
419.52;0.36797211;
419.76;0.36602966;
420;0.35670265;
420.24;0.35121748;
420.48;0.34605426;
420.72;0.33658529;
420.96;0.32702091;
421.2;0.3244553;
421.44;0.33097554;
421.68;0.34271072;
421.92;0.34698286;
422.16;0.34710084;
422.4;0.35095172;
422.64;0.34930379;
422.88;0.34972304;
423.12;0.35068673;
423.36;0.34835866;
423.6;0.34457022;
423.84;0.34198224;
424.08;0.34157535;
424.32;0.34635682;
424.56;0.34739237;
424.8;0.34463971;
425.04;0.34444004;
425.28;0.33797478;
425.52;0.33091159;
425.76;0.32382958;
426;0.32352915;
426.24;0.33087298;
426.48;0.33752935;
426.72;0.33588601;
426.96;0.32798489;
427.2;0.32006688;
427.44;0.3088448;
427.68;0.30270675;
427.92;0.2956874;
428.16;0.28092922;
428.4;0.26441233;
428.64;0.25363502;
428.88;0.25031311;
429.12;0.2538874;
429.36;0.26558107;
429.6;0.28527097;
429.84;0.30960548;
430.08;0.33727358;
430.32;0.35172786;
430.56;0.35060896;
430.8;0.33927919;
431.04;0.33546279;
431.28;0.33935351;
431.52;0.34324428;
431.76;0.34207936;
432;0.33316933;
432.24;0.31852932;
432.48;0.30848932;
432.72;0.31384922;
432.96;0.32708439;
433.2;0.3361887;
433.44;0.33940778;
433.68;0.33997978;
433.92;0.34112381;
434.16;0.34763838;
434.4;0.35353124;
434.64;0.35835219;
434.88;0.36282704;
435.12;0.36349641;
435.36;0.35782273;
435.6;0.34944991;
435.84;0.34080488;
436.08;0.33611856;
436.32;0.33169172;
436.56;0.325706;
436.8;0.31920995;
437.04;0.32234727;
437.28;0.33334136;
437.52;0.34311971;
437.76;0.35162589;
438;0.36082503;
438.24;0.36565547;
438.48;0.36432493;
438.72;0.36038533;
438.96;0.36198395;
439.2;0.36292255;
439.44;0.37457768;
439.68;0.379036;
439.92;0.38417513;
440.16;0.38749353;
440.4;0.38587901;
440.64;0.38352697;
440.88;0.38212957;
441.12;0.37888002;
441.36;0.37706334;
441.6;0.37389528;
441.84;0.3753613;
442.08;0.37894647;
442.32;0.37986019;
442.56;0.37632375;
442.8;0.38063458;
443.04;0.38397439;
443.28;0.38638473;
443.52;0.38309733;
443.76;0.37240292;
444;0.36528416;
444.24;0.36397647;
444.48;0.36295033;
444.72;0.3682139;
444.96;0.37932493;
445.2;0.38934834;
445.44;0.39371293;
445.68;0.4004762;
445.92;0.40787979;
446.16;0.41102683;
446.4;0.4099115;
446.64;0.40888331;
446.88;0.40824076;
447.12;0.40390159;
447.36;0.40469336;
447.6;0.41013459;
447.84;0.40684952;
448.08;0.40430174;
448.32;0.40911629;
448.56;0.41542874;
448.8;0.42473166;
449.04;0.43035148;
449.28;0.42985852;
449.52;0.42479109;
449.76;0.41802389;
450;0.4155405;
450.24;0.41253466;
450.48;0.4120832;
450.72;0.40729653;
450.96;0.39585059;
451.2;0.39304276;
451.44;0.390742;
451.68;0.39489346;
451.92;0.40331286;
452.16;0.41195495;
452.4;0.41881447;
452.64;0.42366894;
452.88;0.42715603;
453.12;0.42549125;
453.36;0.42007519;
453.6;0.42098412;
453.84;0.42380879;
454.08;0.43056043;
454.32;0.43243046;
454.56;0.43627174;
454.8;0.44085183;
455.04;0.44078783;
455.28;0.43632157;
455.52;0.4333265;
455.76;0.43352163;
456;0.43168767;
456.24;0.43639959;
456.48;0.42578517;
456.72;0.41880755;
456.96;0.41794984;
457.2;0.41620471;
457.44;0.4169901;
457.68;0.41938113;
457.92;0.42114349;
458.16;0.42034685;
458.4;0.41962246;
458.64;0.42324323;
458.88;0.42858055;
459.12;0.43725445;
459.36;0.44211674;
459.6;0.43577237;
459.84;0.43415491;
460.08;0.43754131;
460.32;0.43743826;
460.56;0.43837497;
460.8;0.44301527;
461.04;0.44501977;
461.28;0.44241001;
461.52;0.43968552;
461.76;0.43769096;
462;0.43933775;
462.24;0.42757931;
462.48;0.42477867;
462.72;0.42204087;
462.96;0.42060478;
463.2;0.41831387;
463.44;0.42023789;
463.68;0.42671377;
463.92;0.4313565;
464.16;0.43522319;
464.4;0.43777743;
464.64;0.43184332;
464.88;0.42690777;
465.12;0.41915249;
465.36;0.42141972;
465.6;0.42238994;
465.84;0.42541259;
466.08;0.42891286;
466.32;0.42824783;
466.56;0.4293421;
466.8;0.43158939;
467.04;0.43284371;
467.28;0.43265491;
467.52;0.43185879;
467.76;0.43248856;
468;0.42971238;
468.24;0.42401637;
468.48;0.41528966;
468.72;0.41328253;
468.96;0.4133869;
469.2;0.41251422;
469.44;0.41745789;
469.68;0.42364419;
469.92;0.42938714;
470.16;0.43506449;
470.4;0.43929449;
470.64;0.44087595;
470.88;0.43806915;
471.12;0.4353458;
471.36;0.42978288;
471.6;0.42029088;
471.84;0.41961056;
472.08;0.42354752;
472.32;0.42543312;
472.56;0.42908183;
472.8;0.43305534;
473.04;0.43523173;
473.28;0.43601643;
473.52;0.43521139;
473.76;0.43141073;
474;0.42531559;
474.24;0.42453243;
474.48;0.4230747;
474.72;0.42145554;
474.96;0.42017345;
475.2;0.42133974;
475.44;0.42471174;
475.68;0.43075843;
475.92;0.43699526;
476.16;0.44181248;
476.4;0.44416553;
476.64;0.44232508;
476.88;0.43780967;
477.12;0.4316666;
